year,month,state,no_of_fires,date
2012,Aug,Santa Catarina,398,1/1/2012
2013,Aug,Santa Catarina,236,1/1/2013
2014,Aug,Santa Catarina,459,1/1/2014
2015,Aug,Santa Catarina,379,1/1/2015
2016,Aug,Santa Catarina,,1/1/2016
2017,Aug,Santa Catarina,713,1/1/2017
1998,Sep,Santa Catarina,6,1/1/1998
1999,Sep,Santa Catarina,101,1/1/1999
2000,Sep,Santa Catarina,36,1/1/2000
2001,Sep,Santa Catarina,18,1/1/2001
2002,Sep,Santa Catarina,416,1/1/2002
2003,Sep,Santa Catarina,1.339,1/1/2003
2004,Sep,Santa Catarina,755,1/1/2004
2005,Sep,Santa Catarina,116,1/1/2005
2006,Sep,Santa Catarina,530,1/1/2006
2007,Sep,Santa Catarina,617,1/1/2007
2008,Sep,Santa Catarina,233,1/1/2008
2009,Sep,Santa Catarina,47,1/1/2009
2010,Sep,Santa Catarina,198,1/1/2010
2011,Sep,Santa Catarina,450,1/1/2011
2012,Sep,Santa Catarina,188,1/1/2012
2013,Sep,Santa Catarina,303,1/1/2013
2014,Sep,Santa Catarina,208,1/1/2014
2015,Sep,Santa Catarina,156,1/1/2015
2016,Sep,Santa Catarina,644,1/1/2016
2017,Sep,Santa Catarina,626,1/1/2017
1998,Oct,Santa Catarina,4,1/1/1998
1999,Oct,Santa Catarina,16,1/1/1999
2000,Oct,Santa Catarina,55,1/1/2000
2001,Oct,Santa Catarina,26,1/1/2001
2002,Oct,Santa Catarina,42,1/1/2002
2003,Oct,Santa Catarina,669,1/1/2003
2004,Oct,Santa Catarina,704,1/1/2004
2005,Oct,Santa Catarina,197,1/1/2005
2006,Oct,Santa Catarina,269,1/1/2006
2007,Oct,Santa Catarina,35,1/1/2007
2008,Oct,Santa Catarina,56,1/1/2008
2009,Oct,Santa Catarina,252,1/1/2009
2010,Oct,Santa Catarina,76,1/1/2010
2011,Oct,Santa Catarina,102,1/1/2011
2012,Oct,Santa Catarina,34,1/1/2012
2013,Oct,Santa Catarina,,1/1/2013
2014,Oct,Santa Catarina,122,1/1/2014
2015,Oct,Santa Catarina,21,1/1/2015
2016,Oct,Santa Catarina,56,1/1/2016
2017,Oct,Santa Catarina,51,1/1/2017
1998,Nov,Santa Catarina,21,1/1/1998
1999,Nov,Santa Catarina,84,1/1/1999
2000,Nov,Santa Catarina,19,1/1/2000
2001,Nov,Santa Catarina,66,1/1/2001
2002,Nov,Santa Catarina,348,1/1/2002
2003,Nov,Santa Catarina,347,1/1/2003
2004,Nov,Santa Catarina,279,1/1/2004
2005,Nov,Santa Catarina,384,1/1/2005
2006,Nov,Santa Catarina,45,1/1/2006
2007,Nov,Santa Catarina,26,1/1/2007
2008,Nov,Santa Catarina,16,1/1/2008
2009,Nov,Santa Catarina,61,1/1/2009
2010,Nov,Santa Catarina,88,1/1/2010
2011,Nov,Santa Catarina,79,1/1/2011
2012,Nov,Santa Catarina,72,1/1/2012
2013,Nov,Santa Catarina,84,1/1/2013
2014,Nov,Santa Catarina,43,1/1/2014
2015,Nov,Santa Catarina,9,1/1/2015
2016,Nov,Santa Catarina,156,1/1/2016
2017,Nov,Santa Catarina,152,1/1/2017
1998,Dec,Santa Catarina,26,1/1/1998
1999,Dec,Santa Catarina,89,1/1/1999
2000,Dec,Santa Catarina,29,1/1/2000
2001,Dec,Santa Catarina,45,1/1/2001
2002,Dec,Santa Catarina,76,1/1/2002
2003,Dec,Santa Catarina,129,1/1/2003
2004,Dec,Santa Catarina,68,1/1/2004
2005,Dec,Santa Catarina,17,1/1/2005
2006,Dec,Santa Catarina,7,1/1/2006
2007,Dec,Santa Catarina,17,1/1/2007
2008,Dec,Santa Catarina,29,1/1/2008
2009,Dec,Santa Catarina,20,1/1/2009
2010,Dec,Santa Catarina,23,1/1/2010
2011,Dec,Santa Catarina,24,1/1/2011
2012,Dec,Santa Catarina,32,1/1/2012
2013,Dec,Santa Catarina,,1/1/2013
2014,Dec,Santa Catarina,45,1/1/2014
2015,Dec,Santa Catarina,19,1/1/2015
2016,Dec,Santa Catarina,20,1/1/2016
1998,Jan,Sao Paulo,0,1/1/1998
1999,Jan,Sao Paulo,7,1/1/1999
2000,Jan,Sao Paulo,36,1/1/2000
2001,Jan,Sao Paulo,26,1/1/2001
2002,Jan,Sao Paulo,19,1/1/2002
2003,Jan,Sao Paulo,59,1/1/2003
2004,Jan,Sao Paulo,37,1/1/2004
2005,Jan,Sao Paulo,26,1/1/2005
2006,Jan,Sao Paulo,76,1/1/2006
2007,Jan,Sao Paulo,14,1/1/2007
2008,Jan,Sao Paulo,34,1/1/2008
2009,Jan,Sao Paulo,12,1/1/2009
2010,Jan,Sao Paulo,45,1/1/2010
2011,Jan,Sao Paulo,75,1/1/2011
2012,Jan,Sao Paulo,38,1/1/2012
2013,Jan,Sao Paulo,36,1/1/2013
2014,Jan,Sao Paulo,99,1/1/2014
2015,Jan,Sao Paulo,120,1/1/2015
2016,Jan,Sao Paulo,85,1/1/2016
2017,Jan,Sao Paulo,28,1/1/2017
1998,Feb,Sao Paulo,0,1/1/1998
1999,Feb,Sao Paulo,47,1/1/1999
2000,Feb,Sao Paulo,25,1/1/2000
2001,Feb,Sao Paulo,25,1/1/2001
2002,Feb,Sao Paulo,19,1/1/2002
2003,Feb,Sao Paulo,137,1/1/2003
2004,Feb,Sao Paulo,41,1/1/2004
2005,Feb,Sao Paulo,78,1/1/2005
2006,Feb,Sao Paulo,59,1/1/2006
2007,Feb,Sao Paulo,96,1/1/2007
2008,Feb,Sao Paulo,30,1/1/2008
2009,Feb,Sao Paulo,65,1/1/2009
2010,Feb,Sao Paulo,152,1/1/2010
2011,Feb,Sao Paulo,73,1/1/2011
2012,Feb,Sao Paulo,81,1/1/2012
2013,Feb,Sao Paulo,100,1/1/2013
2014,Feb,Sao Paulo,112,1/1/2014
2015,Feb,Sao Paulo,69,1/1/2015
2016,Feb,Sao Paulo,188,1/1/2016
2017,Feb,Sao Paulo,107,1/1/2017
1998,Mar,Sao Paulo,0,1/1/1998
1999,Mar,Sao Paulo,78,1/1/1999
2000,Mar,Sao Paulo,26,1/1/2000
2001,Mar,Sao Paulo,35,1/1/2001
2002,Mar,Sao Paulo,111,1/1/2002
2003,Mar,Sao Paulo,86,1/1/2003
2004,Mar,Sao Paulo,73,1/1/2004
2005,Mar,Sao Paulo,73,1/1/2005
2006,Mar,Sao Paulo,106,1/1/2006
2007,Mar,Sao Paulo,152,1/1/2007
2008,Mar,Sao Paulo,72,1/1/2008
2009,Mar,Sao Paulo,55,1/1/2009
2010,Mar,Sao Paulo,111,1/1/2010
2011,Mar,Sao Paulo,45,1/1/2011
2012,Mar,Sao Paulo,99,1/1/2012
2013,Mar,Sao Paulo,57,1/1/2013
2014,Mar,Sao Paulo,75,1/1/2014
2015,Mar,Sao Paulo,68,1/1/2015
2016,Mar,Sao Paulo,82,1/1/2016
2017,Mar,Sao Paulo,103,1/1/2017
1998,Apr,Sao Paulo,0,1/1/1998
1999,Apr,Sao Paulo,291,1/1/1999
2000,Apr,Sao Paulo,102,1/1/2000
2001,Apr,Sao Paulo,61,1/1/2001
2002,Apr,Sao Paulo,178,1/1/2002
2003,Apr,Sao Paulo,106,1/1/2003
2004,Apr,Sao Paulo,36,1/1/2004
2005,Apr,Sao Paulo,62,1/1/2005
2006,Apr,Sao Paulo,63,1/1/2006
2007,Apr,Sao Paulo,44,1/1/2007
2008,Apr,Sao Paulo,84,1/1/2008
2009,Apr,Sao Paulo,67,1/1/2009
2010,Apr,Sao Paulo,91,1/1/2010
2011,Apr,Sao Paulo,52,1/1/2011
2012,Apr,Sao Paulo,82,1/1/2012
2013,Apr,Sao Paulo,103,1/1/2013
2014,Apr,Sao Paulo,103,1/1/2014
2015,Apr,Sao Paulo,76,1/1/2015
2016,Apr,Sao Paulo,307,1/1/2016
2017,Apr,Sao Paulo,41,1/1/2017
1998,May,Sao Paulo,0,1/1/1998
1999,May,Sao Paulo,500,1/1/1999
2000,May,Sao Paulo,300,1/1/2000
2001,May,Sao Paulo,211,1/1/2001
2002,May,Sao Paulo,319,1/1/2002
2003,May,Sao Paulo,69,1/1/2003
2004,May,Sao Paulo,60,1/1/2004
2005,May,Sao Paulo,212,1/1/2005
2006,May,Sao Paulo,88,1/1/2006
2007,May,Sao Paulo,69,1/1/2007
2008,May,Sao Paulo,40,1/1/2008
2009,May,Sao Paulo,142,1/1/2009
2010,May,Sao Paulo,150,1/1/2010
2011,May,Sao Paulo,136,1/1/2011
2012,May,Sao Paulo,82,1/1/2012
2013,May,Sao Paulo,118,1/1/2013
2014,May,Sao Paulo,181,1/1/2014
2015,May,Sao Paulo,65,1/1/2015
2016,May,Sao Paulo,139,1/1/2016
2017,May,Sao Paulo,43,1/1/2017
1998,Jun,Sao Paulo,451,1/1/1998
1999,Jun,Sao Paulo,522,1/1/1999
2000,Jun,Sao Paulo,606,1/1/2000
2001,Jun,Sao Paulo,346,1/1/2001
2002,Jun,Sao Paulo,562,1/1/2002
2003,Jun,Sao Paulo,132,1/1/2003
2004,Jun,Sao Paulo,231,1/1/2004
2005,Jun,Sao Paulo,236,1/1/2005
2006,Jun,Sao Paulo,97,1/1/2006
2007,Jun,Sao Paulo,91,1/1/2007
2008,Jun,Sao Paulo,25,1/1/2008
2009,Jun,Sao Paulo,125,1/1/2009
2010,Jun,Sao Paulo,143,1/1/2010
2011,Jun,Sao Paulo,210,1/1/2011
2012,Jun,Sao Paulo,30,1/1/2012
2013,Jun,Sao Paulo,47,1/1/2013
2014,Jun,Sao Paulo,331,1/1/2014
2015,Jun,Sao Paulo,147,1/1/2015
2016,Jun,Sao Paulo,197,1/1/2016
2017,Jun,Sao Paulo,217,1/1/2017
1998,Jul,Sao Paulo,596,1/1/1998
1999,Jul,Sao Paulo,684,1/1/1999
2000,Jul,Sao Paulo,770,1/1/2000
2001,Jul,Sao Paulo,538,1/1/2001
2002,Jul,Sao Paulo,448,1/1/2002
2003,Jul,Sao Paulo,171,1/1/2003
2004,Jul,Sao Paulo,342,1/1/2004
2005,Jul,Sao Paulo,284,1/1/2005
2006,Jul,Sao Paulo,245,1/1/2006
2007,Jul,Sao Paulo,94,1/1/2007
2008,Jul,Sao Paulo,126,1/1/2008
2009,Jul,Sao Paulo,110,1/1/2009
2010,Jul,Sao Paulo,600,1/1/2010
2011,Jul,Sao Paulo,479,1/1/2011
2012,Jul,Sao Paulo,179,1/1/2012
2013,Jul,Sao Paulo,181,1/1/2013
2014,Jul,Sao Paulo,476,1/1/2014
2015,Jul,Sao Paulo,149,1/1/2015
2016,Jul,Sao Paulo,687,1/1/2016
2017,Jul,Sao Paulo,802,1/1/2017
1998,Aug,Sao Paulo,581,1/1/1998
1999,Aug,Sao Paulo,1.211,1/1/1999
2000,Aug,Sao Paulo,915,1/1/2000
2001,Aug,Sao Paulo,595,1/1/2001
2002,Aug,Sao Paulo,719,1/1/2002
2003,Aug,Sao Paulo,934,1/1/2003
2004,Aug,Sao Paulo,794,1/1/2004
2005,Aug,Sao Paulo,522,1/1/2005
2006,Aug,Sao Paulo,572,1/1/2006
2007,Aug,Sao Paulo,470,1/1/2007
2008,Aug,Sao Paulo,153,1/1/2008
2009,Aug,Sao Paulo,289,1/1/2009
2010,Aug,Sao Paulo,1.809,1/1/2010
2011,Aug,Sao Paulo,1.067,1/1/2011
2012,Aug,Sao Paulo,435,1/1/2012
2013,Aug,Sao Paulo,497,1/1/2013
2014,Aug,Sao Paulo,1.458,1/1/2014
2015,Aug,Sao Paulo,643,1/1/2015
2016,Aug,Sao Paulo,797,1/1/2016
2017,Aug,Sao Paulo,981,1/1/2017
1998,Sep,Sao Paulo,525,1/1/1998
1999,Sep,Sao Paulo,,1/1/1999
2000,Sep,Sao Paulo,582,1/1/2000
2001,Sep,Sao Paulo,425,1/1/2001
2002,Sep,Sao Paulo,302,1/1/2002
2003,Sep,Sao Paulo,977,1/1/2003
2004,Sep,Sao Paulo,809,1/1/2004
2005,Sep,Sao Paulo,231,1/1/2005
2006,Sep,Sao Paulo,694,1/1/2006
2007,Sep,Sao Paulo,495,1/1/2007
2008,Sep,Sao Paulo,486,1/1/2008
2009,Sep,Sao Paulo,116,1/1/2009
2010,Sep,Sao Paulo,1.677,1/1/2010
2011,Sep,Sao Paulo,1.108,1/1/2011
2012,Sep,Sao Paulo,813,1/1/2012
2013,Sep,Sao Paulo,560,1/1/2013
2014,Sep,Sao Paulo,882,1/1/2014
2015,Sep,Sao Paulo,368,1/1/2015
2016,Sep,Sao Paulo,490,1/1/2016
2017,Sep,Sao Paulo,2.868,1/1/2017
1998,Oct,Sao Paulo,434,1/1/1998
1999,Oct,Sao Paulo,763,1/1/1999
2000,Oct,Sao Paulo,647,1/1/2000
2001,Oct,Sao Paulo,444,1/1/2001
2002,Oct,Sao Paulo,733,1/1/2002
2003,Oct,Sao Paulo,422,1/1/2003
2004,Oct,Sao Paulo,195,1/1/2004
2005,Oct,Sao Paulo,221,1/1/2005
2006,Oct,Sao Paulo,153,1/1/2006
2007,Oct,Sao Paulo,281,1/1/2007
2008,Oct,Sao Paulo,87,1/1/2008
2009,Oct,Sao Paulo,64,1/1/2009
2010,Oct,Sao Paulo,260,1/1/2010
2011,Oct,Sao Paulo,188,1/1/2011
2012,Oct,Sao Paulo,206,1/1/2012
2013,Oct,Sao Paulo,127,1/1/2013
2014,Oct,Sao Paulo,887,1/1/2014
2015,Oct,Sao Paulo,,1/1/2015
2016,Oct,Sao Paulo,177,1/1/2016
2017,Oct,Sao Paulo,179,1/1/2017
1998,Nov,Sao Paulo,488,1/1/1998
1999,Nov,Sao Paulo,398,1/1/1999
2000,Nov,Sao Paulo,96,1/1/2000
2001,Nov,Sao Paulo,168,1/1/2001
2002,Nov,Sao Paulo,72,1/1/2002
2003,Nov,Sao Paulo,155,1/1/2003
2004,Nov,Sao Paulo,144,1/1/2004
2005,Nov,Sao Paulo,163,1/1/2005
2006,Nov,Sao Paulo,43,1/1/2006
2007,Nov,Sao Paulo,50,1/1/2007
2008,Nov,Sao Paulo,20,1/1/2008
2009,Nov,Sao Paulo,83,1/1/2009
2010,Nov,Sao Paulo,104,1/1/2010
2011,Nov,Sao Paulo,87,1/1/2011
2012,Nov,Sao Paulo,50,1/1/2012
2013,Nov,Sao Paulo,120,1/1/2013
2014,Nov,Sao Paulo,56,1/1/2014
2015,Nov,Sao Paulo,21,1/1/2015
2016,Nov,Sao Paulo,39,1/1/2016
2017,Nov,Sao Paulo,37,1/1/2017
1998,Dec,Sao Paulo,121,1/1/1998
1999,Dec,Sao Paulo,47,1/1/1999
2000,Dec,Sao Paulo,23,1/1/2000
2001,Dec,Sao Paulo,52,1/1/2001
2002,Dec,Sao Paulo,57,1/1/2002
2003,Dec,Sao Paulo,58,1/1/2003
2004,Dec,Sao Paulo,102,1/1/2004
2005,Dec,Sao Paulo,15,1/1/2005
2006,Dec,Sao Paulo,13,1/1/2006
2007,Dec,Sao Paulo,21,1/1/2007
2008,Dec,Sao Paulo,36,1/1/2008
2009,Dec,Sao Paulo,37,1/1/2009
2010,Dec,Sao Paulo,52,1/1/2010
2011,Dec,Sao Paulo,53,1/1/2011
2012,Dec,Sao Paulo,64,1/1/2012
2013,Dec,Sao Paulo,,1/1/2013
2014,Dec,Sao Paulo,57,1/1/2014
2015,Dec,Sao Paulo,45,1/1/2015
2016,Dec,Sao Paulo,47,1/1/2016
1998,Jan,Sergipe,0,1/1/1998
1999,Jan,Sergipe,36,1/1/1999
2000,Jan,Sergipe,1,1/1/2000
2001,Jan,Sergipe,2,1/1/2001
2002,Jan,Sergipe,1,1/1/2002
2003,Jan,Sergipe,198,1/1/2003
2004,Jan,Sergipe,16,1/1/2004
2005,Jan,Sergipe,80,1/1/2005
2006,Jan,Sergipe,36,1/1/2006
2007,Jan,Sergipe,56,1/1/2007
2008,Jan,Sergipe,100,1/1/2008
2009,Jan,Sergipe,60,1/1/2009
2010,Jan,Sergipe,29,1/1/2010
2011,Jan,Sergipe,36,1/1/2011
2012,Jan,Sergipe,39,1/1/2012
2013,Jan,Sergipe,34,1/1/2013
2014,Jan,Sergipe,20,1/1/2014
2015,Jan,Sergipe,44,1/1/2015
2016,Jan,Sergipe,9,1/1/2016
2017,Jan,Sergipe,31,1/1/2017
1998,Feb,Sergipe,0,1/1/1998
1999,Feb,Sergipe,25,1/1/1999
2000,Feb,Sergipe,6,1/1/2000
2001,Feb,Sergipe,2,1/1/2001
2002,Feb,Sergipe,6,1/1/2002
2003,Feb,Sergipe,50,1/1/2003
2004,Feb,Sergipe,10,1/1/2004
2005,Feb,Sergipe,19,1/1/2005
2006,Feb,Sergipe,36,1/1/2006
2007,Feb,Sergipe,22,1/1/2007
2008,Feb,Sergipe,67,1/1/2008
2009,Feb,Sergipe,64,1/1/2009
2010,Feb,Sergipe,33,1/1/2010
2011,Feb,Sergipe,31,1/1/2011
2012,Feb,Sergipe,34,1/1/2012
2013,Feb,Sergipe,47,1/1/2013
2014,Feb,Sergipe,18,1/1/2014
2015,Feb,Sergipe,40,1/1/2015
2016,Feb,Sergipe,22,1/1/2016
2017,Feb,Sergipe,18,1/1/2017
1998,Mar,Sergipe,0,1/1/1998
1999,Mar,Sergipe,18,1/1/1999
2000,Mar,Sergipe,6,1/1/2000
2001,Mar,Sergipe,1,1/1/2001
2002,Mar,Sergipe,7,1/1/2002
2003,Mar,Sergipe,62,1/1/2003
2004,Mar,Sergipe,36,1/1/2004
2005,Mar,Sergipe,28,1/1/2005
2006,Mar,Sergipe,41,1/1/2006
2007,Mar,Sergipe,2,1/1/2007
2008,Mar,Sergipe,43,1/1/2008
2009,Mar,Sergipe,29,1/1/2009
2010,Mar,Sergipe,44,1/1/2010
2011,Mar,Sergipe,47,1/1/2011
2012,Mar,Sergipe,71,1/1/2012
2013,Mar,Sergipe,,1/1/2013
2014,Mar,Sergipe,33,1/1/2014
2015,Mar,Sergipe,49,1/1/2015
2016,Mar,Sergipe,26,1/1/2016
2017,Mar,Sergipe,16,1/1/2017
1998,Apr,Sergipe,0,1/1/1998
1999,Apr,Sergipe,6,1/1/1999
2000,Apr,Sergipe,1,1/1/2000
2001,Apr,Sergipe,0,1/1/2001
2002,Apr,Sergipe,12,1/1/2002
2003,Apr,Sergipe,48,1/1/2003
2004,Apr,Sergipe,13,1/1/2004
2005,Apr,Sergipe,8,1/1/2005
2006,Apr,Sergipe,9,1/1/2006
2007,Apr,Sergipe,1,1/1/2007
2008,Apr,Sergipe,2,1/1/2008
2009,Apr,Sergipe,19,1/1/2009
2010,Apr,Sergipe,1,1/1/2010
2011,Apr,Sergipe,12,1/1/2011
2012,Apr,Sergipe,40,1/1/2012
2013,Apr,Sergipe,15,1/1/2013
2014,Apr,Sergipe,7,1/1/2014
2015,Apr,Sergipe,35,1/1/2015
2016,Apr,Sergipe,14,1/1/2016
2017,Apr,Sergipe,8,1/1/2017
1998,May,Sergipe,0,1/1/1998
1999,May,Sergipe,0,1/1/1999
2000,May,Sergipe,0,1/1/2000
2001,May,Sergipe,3,1/1/2001
2002,May,Sergipe,0,1/1/2002
2003,May,Sergipe,2,1/1/2003
2004,May,Sergipe,5,1/1/2004
2005,May,Sergipe,0,1/1/2005
2006,May,Sergipe,0,1/1/2006
2007,May,Sergipe,0,1/1/2007
2008,May,Sergipe,0,1/1/2008
2009,May,Sergipe,,1/1/2009
2010,May,Sergipe,0,1/1/2010
2011,May,Sergipe,0,1/1/2011
2012,May,Sergipe,17,1/1/2012
2013,May,Sergipe,1,1/1/2013
2014,May,Sergipe,1,1/1/2014
2015,May,Sergipe,11,1/1/2015
2016,May,Sergipe,9,1/1/2016
2017,May,Sergipe,1,1/1/2017
1998,Jun,Sergipe,0,1/1/1998
1999,Jun,Sergipe,0,1/1/1999
2000,Jun,Sergipe,0,1/1/2000
2001,Jun,Sergipe,0,1/1/2001
2002,Jun,Sergipe,0,1/1/2002
2003,Jun,Sergipe,0,1/1/2003
2004,Jun,Sergipe,0,1/1/2004
2005,Jun,Sergipe,0,1/1/2005
2006,Jun,Sergipe,0,1/1/2006
2007,Jun,Sergipe,0,1/1/2007
2008,Jun,Sergipe,0,1/1/2008
2009,Jun,Sergipe,2,1/1/2009
2010,Jun,Sergipe,,1/1/2010
2011,Jun,Sergipe,1,1/1/2011
2012,Jun,Sergipe,3,1/1/2012
2013,Jun,Sergipe,1,1/1/2013
2014,Jun,Sergipe,0,1/1/2014
2015,Jun,Sergipe,3,1/1/2015
2016,Jun,Sergipe,1,1/1/2016
2017,Jun,Sergipe,0,1/1/2017
1998,Jul,Sergipe,0,1/1/1998
1999,Jul,Sergipe,0,1/1/1999
2000,Jul,Sergipe,0,1/1/2000
2001,Jul,Sergipe,0,1/1/2001
2002,Jul,Sergipe,0,1/1/2002
2003,Jul,Sergipe,0,1/1/2003
2004,Jul,Sergipe,0,1/1/2004
2005,Jul,Sergipe,0,1/1/2005
2006,Jul,Sergipe,0,1/1/2006
2007,Jul,Sergipe,0,1/1/2007
2008,Jul,Sergipe,0,1/1/2008
2009,Jul,Sergipe,0,1/1/2009
2010,Jul,Sergipe,,1/1/2010
2011,Jul,Sergipe,0,1/1/2011
2012,Jul,Sergipe,1,1/1/2012
2013,Jul,Sergipe,0,1/1/2013
2014,Jul,Sergipe,0,1/1/2014
2015,Jul,Sergipe,0,1/1/2015
2016,Jul,Sergipe,0,1/1/2016
2017,Jul,Sergipe,0,1/1/2017
1998,Aug,Sergipe,0,1/1/1998
1999,Aug,Sergipe,0,1/1/1999
2000,Aug,Sergipe,,1/1/2000
2001,Aug,Sergipe,0,1/1/2001
2002,Aug,Sergipe,2,1/1/2002
2003,Aug,Sergipe,0,1/1/2003
2004,Aug,Sergipe,0,1/1/2004
2005,Aug,Sergipe,0,1/1/2005
2006,Aug,Sergipe,0,1/1/2006
2007,Aug,Sergipe,0,1/1/2007
2008,Aug,Sergipe,0,1/1/2008
2009,Aug,Sergipe,0,1/1/2009
2010,Aug,Sergipe,0,1/1/2010
2011,Aug,Sergipe,1,1/1/2011
2012,Aug,Sergipe,0,1/1/2012
2013,Aug,Sergipe,0,1/1/2013
2014,Aug,Sergipe,0,1/1/2014
2015,Aug,Sergipe,0,1/1/2015
2016,Aug,Sergipe,6,1/1/2016
2017,Aug,Sergipe,0,1/1/2017
1998,Sep,Sergipe,0,1/1/1998
1999,Sep,Sergipe,0,1/1/1999
2000,Sep,Sergipe,0,1/1/2000
2001,Sep,Sergipe,1,1/1/2001
2002,Sep,Sergipe,0,1/1/2002
2003,Sep,Sergipe,3,1/1/2003
2004,Sep,Sergipe,0,1/1/2004
2005,Sep,Sergipe,2,1/1/2005
2006,Sep,Sergipe,0,1/1/2006
2007,Sep,Sergipe,0,1/1/2007
2008,Sep,Sergipe,0,1/1/2008
2009,Sep,Sergipe,1,1/1/2009
2010,Sep,Sergipe,0,1/1/2010
2011,Sep,Sergipe,0,1/1/2011
2012,Sep,Sergipe,1,1/1/2012
2013,Sep,Sergipe,1,1/1/2013
2014,Sep,Sergipe,4,1/1/2014
2015,Sep,Sergipe,1,1/1/2015
2016,Sep,Sergipe,2,1/1/2016
2017,Sep,Sergipe,0,1/1/2017
1998,Oct,Sergipe,0,1/1/1998
1999,Oct,Sergipe,0,1/1/1999
2000,Oct,Sergipe,3,1/1/2000
2001,Oct,Sergipe,5,1/1/2001
2002,Oct,Sergipe,20,1/1/2002
2003,Oct,Sergipe,2,1/1/2003
2004,Oct,Sergipe,,1/1/2004
2005,Oct,Sergipe,11,1/1/2005
2006,Oct,Sergipe,3,1/1/2006
2007,Oct,Sergipe,3,1/1/2007
2008,Oct,Sergipe,0,1/1/2008
2009,Oct,Sergipe,1,1/1/2009
2010,Oct,Sergipe,1,1/1/2010
2011,Oct,Sergipe,5,1/1/2011
2012,Oct,Sergipe,1,1/1/2012
2013,Oct,Sergipe,3,1/1/2013
2014,Oct,Sergipe,3,1/1/2014
2015,Oct,Sergipe,6,1/1/2015
2016,Oct,Sergipe,10,1/1/2016
2017,Oct,Sergipe,0,1/1/2017
1998,Nov,Sergipe,12,1/1/1998
1999,Nov,Sergipe,3,1/1/1999
2000,Nov,Sergipe,0,1/1/2000
2001,Nov,Sergipe,5,1/1/2001
2002,Nov,Sergipe,57,1/1/2002
2003,Nov,Sergipe,2,1/1/2003
2004,Nov,Sergipe,41,1/1/2004
2005,Nov,Sergipe,23,1/1/2005
2006,Nov,Sergipe,5,1/1/2006
2007,Nov,Sergipe,7,1/1/2007
2008,Nov,Sergipe,17,1/1/2008
2009,Nov,Sergipe,9,1/1/2009
2010,Nov,Sergipe,16,1/1/2010
2011,Nov,Sergipe,4,1/1/2011
2012,Nov,Sergipe,6,1/1/2012
2013,Nov,Sergipe,7,1/1/2013
2014,Nov,Sergipe,9,1/1/2014
2015,Nov,Sergipe,47,1/1/2015
2016,Nov,Sergipe,17,1/1/2016
2017,Nov,Sergipe,1,1/1/2017
1998,Dec,Sergipe,8,1/1/1998
1999,Dec,Sergipe,5,1/1/1999
2000,Dec,Sergipe,0,1/1/2000
2001,Dec,Sergipe,5,1/1/2001
2002,Dec,Sergipe,103,1/1/2002
2003,Dec,Sergipe,36,1/1/2003
2004,Dec,Sergipe,66,1/1/2004
2005,Dec,Sergipe,29,1/1/2005
2006,Dec,Sergipe,17,1/1/2006
2007,Dec,Sergipe,33,1/1/2007
2008,Dec,Sergipe,14,1/1/2008
2009,Dec,Sergipe,21,1/1/2009
2010,Dec,Sergipe,19,1/1/2010
2011,Dec,Sergipe,36,1/1/2011
2012,Dec,Sergipe,18,1/1/2012
2013,Dec,Sergipe,9,1/1/2013
2014,Dec,Sergipe,9,1/1/2014
2015,Dec,Sergipe,63,1/1/2015
2016,Dec,Sergipe,36,1/1/2016
1998,Jan,Tocantins,0,1/1/1998
1999,Jan,Tocantins,36,1/1/1999
2000,Jan,Tocantins,15,1/1/2000
2001,Jan,Tocantins,19,1/1/2001
2002,Jan,Tocantins,35,1/1/2002
2003,Jan,Tocantins,35,1/1/2003
2004,Jan,Tocantins,40,1/1/2004
2005,Jan,Tocantins,66,1/1/2005
2006,Jan,Tocantins,91,1/1/2006
2007,Jan,Tocantins,34,1/1/2007
2008,Jan,Tocantins,28,1/1/2008
2009,Jan,Tocantins,43,1/1/2009
2010,Jan,Tocantins,79,1/1/2010
2011,Jan,Tocantins,14,1/1/2011
2012,Jan,Tocantins,12,1/1/2012
2013,Jan,Tocantins,50,1/1/2013
2014,Jan,Tocantins,89,1/1/2014
2015,Jan,Tocantins,186,1/1/2015
2016,Jan,Tocantins,42,1/1/2016
2017,Jan,Tocantins,61,1/1/2017
1998,Feb,Tocantins,0,1/1/1998
1999,Feb,Tocantins,1,1/1/1999
2000,Feb,Tocantins,6,1/1/2000
2001,Feb,Tocantins,6,1/1/2001
2002,Feb,Tocantins,48,1/1/2002
2003,Feb,Tocantins,15,1/1/2003
2004,Feb,Tocantins,7,1/1/2004
2005,Feb,Tocantins,27,1/1/2005
2006,Feb,Tocantins,14,1/1/2006
2007,Feb,Tocantins,8,1/1/2007
2008,Feb,Tocantins,6,1/1/2008
2009,Feb,Tocantins,21,1/1/2009
2010,Feb,Tocantins,32,1/1/2010
2011,Feb,Tocantins,13,1/1/2011
2012,Feb,Tocantins,45,1/1/2012
2013,Feb,Tocantins,37,1/1/2013
2014,Feb,Tocantins,73,1/1/2014
2015,Feb,Tocantins,65,1/1/2015
2016,Feb,Tocantins,383,1/1/2016
2017,Feb,Tocantins,25,1/1/2017
1998,Mar,Tocantins,0,1/1/1998
1999,Mar,Tocantins,1,1/1/1999
2000,Mar,Tocantins,4,1/1/2000
2001,Mar,Tocantins,0,1/1/2001
2002,Mar,Tocantins,33,1/1/2002
2003,Mar,Tocantins,19,1/1/2003
